Node u,Node v,SimRank
1,1,1
1,2,0.37252395414085687
1,3,0.4250643265563866
1,4,0.47964777975286504
1,5,0.4465852684410384
1,7,0.46749608035881385
1,6,0.42001001724983533
2,2,1
2,1,0.37252395414085687
2,3,0.583322677341568
2,4,0.35251583318718155
2,5,0.4940034471997401
2,7,0.3795974729488734
2,6,0.6147987364744366
3,3,1
3,1,0.42506432655638654
3,2,0.583322677341568
3,4,0.4705457828321786
3,5,0.4513375987499255
3,7,0.39975019916811433
3,6,0.49153643825484106
4,4,1
4,1,0.47964777975286504
4,2,0.35251583318718144
4,3,0.47054578283217857
4,5,0.430144077689357
4,7,0.5511799596917695
4,6,0.4518478964394755
5,5,1
5,1,0.44658526844103835
5,2,0.4940034471997401
5,3,0.4513375987499255
5,4,0.430144077689357
5,7,0.37449184523876744
5,6,0.4342476462192537
7,7,1
7,1,0.46749608035881385
7,2,0.3795974729488733
7,3,0.3997501991681143
7,4,0.5511799596917695
7,5,0.37449184523876744
7,6,0.6147987364744366
6,6,1
6,1,0.42001001724983544
6,2,0.6147987364744366
6,3,0.49153643825484106
6,4,0.4518478964394755
6,5,0.4342476462192537
6,7,0.6147987364744366
