         1          1          4
         1          1          5
         1          1         26
         1          1         48
         2          2          9
         2          2         28
         3          3         19
         3          3         28
         3          3         35
         3          3         43
         4          4         17
         4          4         28
         4          4         46
         5          5          5
         5          5         11
         5          5         14
         5          5         40
         6          6         26
         6          6         29
         6          6         39
         6          6         43
         7          7          3
         7          7         16
         7          7         26
         7          7         36
         7          7         41
         7          7         48
         8          8          8
         8          8         26
         8          8         36
         8          8         38
         9          9         36
         9          9         48
        10         10         23
        10         10         39
        10         10         49
        11         11         23
        11         11         43
        12         12          8
        12         12         10
        12         12         12
        12         12         14
        12         12         15
        12         12         35
        12         12         45
        13         13          9
        13         13         11
        13         13         21
        13         13         32
        13         13         40
        14         14         19
        14         14         23
        14         14         36
        15         15         19
        16         16          3
        16         16         14
        16         16         23
        17         17          9
        17         17         17
        17         17         35
        17         17         38
        17         17         43
        18         18         17
        18         18         33
        18         18         49
        19         19         23
        19         19         28
        19         19         36
        19         19         46
        19         19         47
        20         20         26
        21         21          8
        21         21         11
        21         21         13
        21         21         23
        21         21         25
        21         21         48
        22         22         28
        22         22         36
        22         22         40
        22         22         47
        23         23          4
        23         23         47
        23         23         48
        24         24         10
        24         24         24
        24         24         25
        24         24         28
        24         24         29
        25         25          9
        25         25         43
        26         26          3
        27         27          0
        27         27         12
        28         28         15
        28         28         17
        28         28         38
        29         29          9
        29         29         28
        29         29         41
        30         30          3
        30         30          5
        30         30          7
        30         30         36
        30         30         40
