4,5
5,4
5,26
26,5
26,48
48,26
9,28
28,9
19,28
28,19
28,35
35,28
35,43
43,35
17,28
28,17
28,46
46,28
5,11
11,5
11,14
14,11
14,40
40,14
26,29
29,26
29,39
39,29
39,43
43,39
3,16
16,3
16,26
26,16
26,36
36,26
36,41
41,36
41,48
48,41
8,26
26,8
26,36
36,26
36,38
38,36
36,48
48,36
23,39
39,23
39,49
49,39
23,43
43,23
8,10
10,8
10,12
12,10
12,14
14,12
14,15
15,14
15,35
35,15
35,45
45,35
9,11
11,9
11,21
21,11
21,32
32,21
32,40
40,32
19,23
23,19
23,36
36,23
3,14
14,3
14,23
23,14
9,17
17,9
17,35
35,17
35,38
38,35
38,43
43,38
17,33
33,17
33,49
49,33
23,28
28,23
28,36
36,28
36,46
46,36
46,47
47,46
8,11
11,8
11,13
13,11
13,23
23,13
23,25
25,23
25,48
48,25
28,36
36,28
36,40
40,36
40,47
47,40
4,47
47,4
47,48
48,47
10,24
24,10
24,25
25,24
25,28
28,25
28,29
29,28
9,43
43,9
0,12
12,0
15,17
17,15
17,38
38,17
9,28
28,9
28,41
41,28
